"SUID","coexpression","cooccurrence","databases","experiments","fusion","interaction","interspecies","name","neighborhood","score","selected","shared interaction","shared name","textmining"
"15453","0.062",,"0.9",,,"pp",,"CX3CL1 (pp) GRM8",,"0.902","false","pp","CX3CL1 (pp) GRM8",
"15454",,,"0.9",,,"pp",,"CX3CL1 (pp) C5AR1",,"0.913","false","pp","CX3CL1 (pp) C5AR1","0.172"
"15455","0.062",,"0.9",,,"pp",,"CX3CL1 (pp) SSTR2",,"0.902","false","pp","CX3CL1 (pp) SSTR2",
"15456","0.061",,"0.9","0.379",,"pp",,"CX3CL1 (pp) CX3CR1",,"0.997","false","pp","CX3CL1 (pp) CX3CR1","0.956"
"15457",,,,"0.313",,"pp",,"CX3CL1 (pp) STAT1",,"0.498","false","pp","CX3CL1 (pp) STAT1","0.299"
"15458",,,"0.9",,,"pp",,"CX3CL1 (pp) CXCL9",,"0.963","false","pp","CX3CL1 (pp) CXCL9","0.651"
"15459",,,,,,"pp",,"CX3CL1 (pp) TLR1",,"0.41","false","pp","CX3CL1 (pp) TLR1","0.41"
"15460",,,"0.9",,,"pp",,"CX3CL1 (pp) SUCNR1",,"0.9","false","pp","CX3CL1 (pp) SUCNR1",
"15461","0.061",,,,,"pp",,"CX3CL1 (pp) PTGS2",,"0.406","false","pp","CX3CL1 (pp) PTGS2","0.394"
"15462",,,"0.9",,,"pp",,"CX3CL1 (pp) RXFP4",,"0.9","false","pp","CX3CL1 (pp) RXFP4",
"15463",,,"0.9",,,"pp",,"CX3CL1 (pp) ADORA3",,"0.921","false","pp","CX3CL1 (pp) ADORA3","0.247"
"15464",,,,"0.313",,"pp",,"CX3CL1 (pp) JUN",,"0.474","false","pp","CX3CL1 (pp) JUN","0.265"
"15465",,,,,,"pp",,"CX3CL1 (pp) CD40",,"0.427","false","pp","CX3CL1 (pp) CD40","0.427"
"15466","0.061",,,,,"pp",,"CX3CL1 (pp) TREM2",,"0.511","false","pp","CX3CL1 (pp) TREM2","0.5"
"15467",,,"0.9",,,"pp",,"CX3CL1 (pp) CXCR3",,"0.96","false","pp","CX3CL1 (pp) CXCR3","0.622"
"15468","0.061",,"0.9",,,"pp",,"CX3CL1 (pp) LPAR1",,"0.903","false","pp","CX3CL1 (pp) LPAR1","0.057"
"15469","0.062",,"0.9",,,"pp",,"CX3CL1 (pp) GPSM3",,"0.904","false","pp","CX3CL1 (pp) GPSM3","0.064"
"15470",,,,,,"pp",,"CX3CL1 (pp) AIF1",,"0.586","false","pp","CX3CL1 (pp) AIF1","0.586"
"15471",,,"0.9",,,"pp",,"CX3CL1 (pp) GPR183",,"0.9","false","pp","CX3CL1 (pp) GPR183","0.046"
"15472",,,"0.9",,,"pp",,"CX3CL1 (pp) ANXA1",,"0.917","false","pp","CX3CL1 (pp) ANXA1","0.207"
