"","gene","lfc1","lfc2","lfc3","lfc4e","lfc4s"
"53","RBM6",0.218206296526663,0.458359327160088,0.535041179376558,0.296883570981238,0.339836067488456
"54","CAMKK1",0.756333613034934,0.766468144243731,0.885580202364354,0.544081442180884,0.467381817244451
"55","RECQL",0.476652947149041,0.0998626458809047,-0.123681980927768,0.534247564737964,0.502608635966274
"56","VPS50",-0.305187516106254,-0.00189077434199416,0.0133399162292859,-0.0614262660207385,0.0392969044365576
"57","HSPB6",-4.6354803006614,-4.27320578940754,-5.71852504371085,-3.50420398339522,-1.75099135264804
"58","ARHGAP33",0.742884756239884,1.11631961720279,1.09445164646991,0.833989564427937,0.712220427080777
"59","NDUFAB1",0.0145760981625359,0.29095653957482,0.0227522125382457,-0.240458294272859,-0.523283848960475
"60","PDK4",-4.05271463016916,-3.68478585166214,-3.41043025308471,-3.41963185829529,-2.29030817110558
"61","SLC22A16",-0.263506786351034,-0.691341727973124,-1.59561643614558,0.855030487421313,0.404736662227894
"62","ZMYND10",1.41674149814436,0.126992629392193,1.27485367750127,1.04453399886737,0.95173146956348
"63","ABCB5",-3.93956692124902,-5.23295212333904,-5.5446751278881,-2.82204275427548,-1.12082510507275
"64","ARX",1.18464172474221,-2.01199978506829,1.64710507475074,0.0331659203755246,-1.37215573599222
"65","SLC25A13",-0.43424523442582,0.14924543775804,-0.0735166473253709,-0.181162646622697,-0.17462591650511
"66","ST7",0.773294849059677,0.675078020447563,0.764289810284385,0.594433687319129,0.617965461010618
"67","CDC27",0.630970342147436,0.218708010958193,0.128923460819558,0.241998936024899,0.31114618857043
"68","SLC4A1",-1.03780956767168,-2.03350681080748,-1.80296182617102,-1.18343046084212,-0.856236326638656
"69","CALCR",0.0365211362127292,-0.264857542486258,0.333688844746398,0.695222094381563,1.29454707037763
"70","HCCS",-0.31341818469123,-0.0171750717258025,-0.24501898505084,-0.255320997613423,-0.484315382203818
"71","DVL2",0.167850669106199,0.00733965738776232,0.0745846081347591,0.0569504280400726,0.0291355266167605
"72","PRSS22",3.74766802628496,3.70622135295908,3.74193096989898,3.57568585361956,3.36451171068738
"73","UPF1",0.0432652908013205,0.153677927859391,0.239631313349402,0.105571331167398,0.0958195224423544
"74","SKAP2",-0.911155352160067,-0.7546144845661,-0.711818340734728,-0.559995386947876,-0.457828449469299
"75","SLC25A5",-0.35000456039192,-0.140854168473496,-0.162948926819724,-0.350019256088281,-0.781104109826501
"76","MCUB",1.29424730015072,-0.0406943541321064,0.374591865595208,0.273300652444485,0.213944267099096
"77","HOXA11",0.286357946315012,0.58672339229089,0.618323027881131,0.459970738731458,0.643107950288747
"78","POLR2J",-0.223437856788622,0.491293296788731,0.401385743804334,0.263517920442981,0.0629399397491415
"79","DHX33",0.890872262437617,0.699548598792549,0.791604831653521,0.604288557023191,0.660538351552359
"80","MEOX1",-1.5876203871435,-2.03640464496685,-2.47365229126071,-0.841619179415255,-0.548424430572014
"81","THSD7A",-1.39177012101245,-2.37967819303424,-2.57009208757996,-0.14722411938632,0.219799514589016
"82","LIG3",0.413767596377192,0.780136635919302,0.548752976617474,0.579231931293867,0.535663222503088
"83","RPAP3",0.633170914385827,0.578503764238103,0.539017416836026,0.411813122016501,0.44401561856667
"84","ACSM3",-0.553400453893177,-0.809036235036056,-0.177045726749691,-1.27533238410464,-1.10370576637151
"85","AC004381.6",1.20146378670196,0.889629881749206,0.88160388763947,0.432578866143558,0.340688810988606
"86","CIAPIN1",0.431206497105547,0.613995619895131,0.488537110618387,0.30479434426118,0.153979556618352
"87","SPPL2B",-0.156677369964253,0.349211764458117,0.482203186840166,0.102737890444701,0.000191625893781672
"88","FAM214B",-1.02907676271076,-1.27716798848197,-0.548466360342502,-0.775508595528434,-0.8741608791386
"89","COPZ2",-0.931875890365947,-1.60465600929802,-1.92491527797393,0.121738443924509,0.160695910448869
"90","PRKAR2B",-0.968303841269122,-2.96316808199431,-2.36264918156831,-1.83481553354899,-1.4404255560937
"91","MSL3",0.409353896799808,0.521419049415332,0.334667259854207,0.4981498382567,0.307623615341584
"92","CREBBP",-0.241906428473161,-0.289404130712978,-0.216173632928146,-0.100058803979304,0.0866951648472021
"93","TSPOAP1",1.1694995891834,1.44008129993496,0.616884857476384,1.03760614739453,1.12156086362315
"94","MPO",0.618996318349384,0.603501294511721,0.0415587106233649,1.04619542125091,1.17606903742055
"95","PON1",1.24721339280938,-1.06606074003588,1.51122407167488,-0.494334076543819,1.15560956311241
"96","GCFC2",0.424237213819833,0.311067002673228,0.152144731751005,0.0462178655114849,0.304587156844378
"97","WDR54",1.65479997714146,0.837091820405654,1.20044809609611,1.24782638590237,0.946620893358298
"98","CROT",-1.90598293916347,-1.12581800599449,-1.14562740070412,-1.24985076228545,-1.22363666137681
"99","ABCB4",-1.4850032451552,-0.748660533633854,-0.71846364313166,-0.063758510342302,0.229001083450058
"100","KMT2E",-0.612458200205952,-0.592575928306415,-0.50060467784869,-0.459117678093613,-0.18310229892155
"101","RHBDD2",0.199707278085729,0.292837000710971,0.408924598269384,0.347540765080635,0.311674521519161
"102","SOX8",1.69075322712683,-0.594679683670886,0.0254164022146348,0.500296377225105,0.373366811358403
"103","IBTK",0.404296857078672,-0.322189990568537,0.0663242935414099,-0.179597051962662,-0.19163627238204
"104","ZNF195",0.750290134187756,0.96080966849636,0.763758204775058,0.592346286496261,0.752576069337115
"105","MYCBP2",0.368334587103178,0.0798398602357785,-0.118715142774408,0.452686489974684,0.642086466438807
